[1114/093759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/112007:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/132000:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/142941:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/143545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/143613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/143716:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/150541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/150714:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/150815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/150916:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/151402:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/151445:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/151541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/153511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/154409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/160114:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/160228:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/160300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/160811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/160910:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/161047:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/161244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/161305:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/161509:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/161533:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/120404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/121200:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/121431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/123054:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/125945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130439:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130530:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130742:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130829:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/130850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/131257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/131451:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/131613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/132111:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/132719:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/174826:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/175845:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/180155:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/191341:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/191858:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/192011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/192549:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/193151:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/121324:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/121909:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/122615:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1122/114901:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/161905:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/162137:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/162455:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1128/171328:ERROR:file_io.cc(30)] read: expected 4, observed 0
